reader,dataset,retriever,track,n,errors,gold,poison,abstain,drift
qwen72b,hotpot_nq,e5ce,clean,2982,0,0.46680080482897385,0.004024144869215292,0.20355466130114017,0.3256203890006707
qwen72b,hotpot_nq,e5ce,attack,2982,0,0.3494299128101945,0.21026156941649898,0.14185110663983905,0.29845741113346747
qwen72b,hotpot_nq,e5ce,forced,2982,0,0.20757880617035546,0.27230046948356806,0.3165660630449363,0.20355466130114017
qwen72b,hotpot_nq,colbert,clean,2982,0,0.4352783366867874,0.004694835680751174,0.23172367538564723,0.3283031522468142
qwen72b,hotpot_nq,colbert,attack,2982,0,0.3299798792756539,0.2129443326626425,0.16063044936284374,0.2964453386988598
qwen72b,hotpot_nq,colbert,forced,2982,0,0.20724346076458752,0.272635814889336,0.3158953722334004,0.20422535211267606
qwen72b,trivia,e5ce,clean,1398,0,0.7017167381974249,0.000715307582260372,0.10944206008583691,0.18812589413447783
qwen72b,trivia,e5ce,attack,1398,0,0.5464949928469242,0.17954220314735336,0.060801144492131615,0.21316165951359084
qwen72b,trivia,e5ce,forced,1398,0,0.3090128755364807,0.3054363376251788,0.22889842632331903,0.15665236051502146
qwen72b,trivia,colbert,clean,1398,0,0.6738197424892703,0.000715307582260372,0.12088698140200287,0.20457796852646637
qwen72b,trivia,colbert,attack,1398,0,0.5329041487839771,0.1759656652360515,0.07010014306151645,0.22103004291845493
qwen72b,trivia,colbert,forced,1398,0,0.3090128755364807,0.3054363376251788,0.22889842632331903,0.15665236051502146
qwen72b,wiki2,e5ce,clean,2696,0,0.25,0.015578635014836795,0.5022255192878339,0.23219584569732937
qwen72b,wiki2,e5ce,attack,2696,0,0.18620178041543026,0.28375370919881304,0.3508902077151335,0.17915430267062316
qwen72b,wiki2,e5ce,forced,2696,0,0.103486646884273,0.2800445103857567,0.4899851632047478,0.12648367952522255
qwen72b,wiki2,colbert,clean,2696,0,0.22663204747774482,0.01112759643916914,0.5270771513353115,0.23516320474777447
qwen72b,wiki2,colbert,attack,2696,0,0.15652818991097922,0.27781899109792285,0.37611275964391694,0.18954005934718102
qwen72b,wiki2,colbert,forced,2696,0,0.103486646884273,0.2800445103857567,0.4899851632047478,0.12648367952522255
llama70b,hotpot_nq,e5ce,clean,2982,0,0.46378269617706236,0.00335345405767941,0.25486250838363517,0.2780013413816231
llama70b,hotpot_nq,e5ce,attack,2982,0,0.3195841716968478,0.2022132796780684,0.23541247484909456,0.24279007377598927
llama70b,hotpot_nq,e5ce,forced,2982,0,0.1448692152917505,0.23641851106639838,0.4704896042924212,0.1482226693494299
llama70b,hotpot_nq,colbert,clean,2982,0,0.4154929577464789,0.003688799463447351,0.30181086519114686,0.2790073775989269
