reader,dataset,retriever,track,n,errors,gold,gold_lo,gold_hi,poison,poison_lo,poison_hi,abstain,abstain_lo,abstain_hi,drift,drift_lo,drift_hi
qwen72b,hotpot_nq,e5ce,clean,2982,0,0.46680080482897385,0.4484,0.4849,0.004024144869215292,0.0020,0.0064,0.20355466130114017,0.1888,0.2186,0.3256203890006707,0.3092,0.3424
qwen72b,hotpot_nq,e5ce,attack,2982,0,0.3494299128101945,0.3323,0.3669,0.21026156941649898,0.1948,0.2250,0.14185110663983905,0.1298,0.1539,0.29845741113346747,0.2810,0.3152
qwen72b,hotpot_nq,e5ce,forced,2982,0,0.20757880617035546,0.1938,0.2220,0.27230046948356806,0.2559,0.2877,0.3165660630449363,0.3001,0.3333,0.20355466130114017,0.1895,0.2170
qwen72b,hotpot_nq,colbert,clean,2982,0,0.4352783366867874,0.4172,0.4537,0.004694835680751174,0.0023,0.0074,0.23172367538564723,0.2163,0.2482,0.3283031522468142,0.3119,0.3457
qwen72b,hotpot_nq,colbert,attack,2982,0,0.3299798792756539,0.3135,0.3467,0.2129443326626425,0.1985,0.2280,0.16063044936284374,0.1482,0.1737,0.2964453386988598,0.2800,0.3125
qwen72b,hotpot_nq,colbert,forced,2982,0,0.20724346076458752,0.1928,0.2213,0.272635814889336,0.2579,0.2881,0.3158953722334004,0.2985,0.3317,0.20422535211267606,0.1901,0.2190
qwen72b,trivia,e5ce,clean,1398,0,0.7017167381974249,0.6781,0.7253,0.000715307582260372,0.0000,0.0021,0.10944206008583691,0.0937,0.1259,0.18812589413447783,0.1674,0.2096
qwen72b,trivia,e5ce,attack,1398,0,0.5464949928469242,0.5207,0.5737,0.17954220314735336,0.1595,0.2003,0.060801144492131615,0.0494,0.0737,0.21316165951359084,0.1917,0.2361
qwen72b,trivia,e5ce,forced,1398,0,0.3090128755364807,0.2833,0.3333,0.3054363376251788,0.2818,0.3312,0.22889842632331903,0.2074,0.2518,0.15665236051502146,0.1395,0.1760
qwen72b,trivia,colbert,clean,1398,0,0.6738197424892703,0.6488,0.6974,0.000715307582260372,0.0000,0.0021,0.12088698140200287,0.1044,0.1395,0.20457796852646637,0.1831,0.2260
qwen72b,trivia,colbert,attack,1398,0,0.5329041487839771,0.5050,0.5608,0.1759656652360515,0.1567,0.1960,0.07010014306151645,0.0565,0.0837,0.22103004291845493,0.1989,0.2432
qwen72b,trivia,colbert,forced,1398,0,0.3090128755364807,0.2854,0.3326,0.3054363376251788,0.2825,0.3298,0.22889842632331903,0.2060,0.2511,0.15665236051502146,0.1381,0.1767
qwen72b,wiki2,e5ce,clean,2696,0,0.25,0.2341,0.2656,0.015578635014836795,0.0111,0.0204,0.5022255192878339,0.4841,0.5219,0.23219584569732937,0.2170,0.2478
qwen72b,wiki2,e5ce,attack,2696,0,0.18620178041543026,0.1728,0.2010,0.28375370919881304,0.2674,0.3016,0.3508902077151335,0.3327,0.3691,0.17915430267062316,0.1643,0.1940
qwen72b,wiki2,e5ce,forced,2696,0,0.103486646884273,0.0924,0.1146,0.2800445103857567,0.2630,0.2978,0.4899851632047478,0.4711,0.5082,0.12648367952522255,0.1139,0.1387
qwen72b,wiki2,colbert,clean,2696,0,0.22663204747774482,0.2114,0.2422,0.01112759643916914,0.0074,0.0152,0.5270771513353115,0.5082,0.5464,0.23516320474777447,0.2200,0.2515
qwen72b,wiki2,colbert,attack,2696,0,0.15652818991097922,0.1432,0.1710,0.27781899109792285,0.2604,0.2949,0.37611275964391694,0.3583,0.3950,0.18954005934718102,0.1747,0.2044
qwen72b,wiki2,colbert,forced,2696,0,0.103486646884273,0.0924,0.1154,0.2800445103857567,0.2622,0.2975,0.4899851632047478,0.4714,0.5078,0.12648367952522255,0.1135,0.1387
llama70b,hotpot_nq,e5ce,clean,2982,0,0.46378269617706236,0.4460,0.4829,0.00335345405767941,0.0013,0.0057,0.25486250838363517,0.2398,0.2700,0.2780013413816231,0.2622,0.2948
llama70b,hotpot_nq,e5ce,attack,2982,0,0.3195841716968478,0.3028,0.3364,0.2022132796780684,0.1878,0.2166,0.23541247484909456,0.2207,0.2512,0.24279007377598927,0.2277,0.2575
llama70b,hotpot_nq,e5ce,forced,2982,0,0.1448692152917505,0.1328,0.1576,0.23641851106639838,0.2203,0.2515,0.4704896042924212,0.4517,0.4893,0.1482226693494299,0.1358,0.1606
llama70b,hotpot_nq,colbert,clean,2982,0,0.4154929577464789,0.3987,0.4336,0.003688799463447351,0.0017,0.0060,0.30181086519114686,0.2857,0.3182,0.2790073775989269,0.2643,0.2951
llama70b,hotpot_nq,colbert,attack,2982,0,0.2887323943661972,0.2733,0.3058,0.20858484238765929,0.1945,0.2233,0.2578806170355466,0.2418,0.2736,0.24480214621059693,0.2304,0.2612
llama70b,hotpot_nq,colbert,forced,2982,0,0.1448692152917505,0.1325,0.1573,0.23708920187793428,0.2223,0.2522,0.46981891348088534,0.4520,0.4876,0.1482226693494299,0.1358,0.1603
llama70b,trivia,e5ce,clean,1398,0,0.6638054363376252,0.6402,0.6881,0.000715307582260372,0.0000,0.0021,0.1380543633762518,0.1202,0.1559,0.19742489270386265,0.1760,0.2189
llama70b,trivia,e5ce,attack,1398,0,0.47854077253218885,0.4521,0.5043,0.1659513590844063,0.1466,0.1867,0.1709585121602289,0.1531,0.1924,0.18454935622317598,0.1652,0.2053
llama70b,trivia,e5ce,forced,1398,0,0.18741058655221746,0.1652,0.2074,0.23104434907010013,0.2089,0.2532,0.4613733905579399,0.4349,0.4886,0.12017167381974249,0.1037,0.1373
llama70b,trivia,colbert,clean,1398,0,0.6437768240343348,0.6187,0.6681,0.000715307582260372,0.0000,0.0021,0.14949928469241774,0.1316,0.1674,0.20600858369098712,0.1860,0.2268
llama70b,trivia,colbert,attack,1398,0,0.4728183118741059,0.4449,0.4993,0.17668097281831188,0.1567,0.1967,0.1530758226037196,0.1345,0.1710,0.19742489270386265,0.1767,0.2189
llama70b,trivia,colbert,forced,1398,0,0.18741058655221746,0.1674,0.2082,0.23104434907010013,0.2096,0.2525,0.4613733905579399,0.4349,0.4871,0.12017167381974249,0.1023,0.1381
llama70b,wiki2,e5ce,clean,2696,0,0.2236646884272997,0.2077,0.2400,0.00556379821958457,0.0030,0.0085,0.6298219584569733,0.6113,0.6484,0.14094955489614244,0.1276,0.1539
